,country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
229344,Portugal,"Electricity - total net installed capacity of electric power plants, autoproducer",2003,"Kilowatts,  thousand",1223.0,,electricity_net_installed_capacity_of_electric_power_plants
623599,Algeria,Liquefied petroleum gas (LPG) - Consumption by households,1994,"Metric tons,  thousand",1408.0,,liquified_petroleum_gas
132042,Madagascar,Charcoal - Exports,2013,"Metric tons,  thousand",0.063,,charcoal
321225,Azerbaijan,Fuel oil - Transformation,2011,"Metric tons,  thousand",83.0,,fuel_oil
17925,Iceland,Aviation gasoline - Final energy consumption,2001,"Metric tons,  thousand",1.0,,aviation_gasoline
487115,South Africa,Gasworks Gas - Consumption not elsewhere specified (industry),2006,Terajoules,6108.0,,gasworks_gas
998317,Spain,Petroleum coke - Own use by oil refineries,2002,"Metric tons,  thousand",182.0,,petroleum_coke
236604,Armenia,"Electricity - total net installed capacity of electric power plants, hydro",2003,"Kilowatts,  thousand",1170.0,,electricity_net_installed_capacity_of_electric_power_plants
100333,Czechia,Brown Coal Briquettes - Final energy consumption,2008,"Metric tons,  thousand",151.0,,brown_coal_briquettes
540075,Canada,"Heat - Consumption by agriculture, forestry and fishing",1993,Terajoules,180.0,,heat
477673,Serbia and Montenegro,"Gas Oil/ Diesel Oil - Transformation in electricity, CHP and heat plants",2002,"Metric tons,  thousand",0.0,,gas_oil_diesel_oil
805712,Switzerland,"Natural gas (including LNG) - consumption in agriculture, forestry and fishing",2006,Terajoules,1700.0,,natural_gas_including_lng
1016839,Brazil,Refinery gas - Production,1999,"Metric tons,  thousand",3225.188652,,refinery_gas
1169959,Estonia,Wind – Autoproducer,2004,"Kilowatt-hours, million",1.0,,total_electricity
802759,Indonesia,Natural gas (including LNG) - consumption by transport,2007,Terajoules,302.0,,natural_gas_including_lng
995902,Brazil,Petroleum coke - Imports,1996,"Metric tons,  thousand",0.0,,petroleum_coke
361213,Peru,Fuelwood - Final energy consumption,1995,"Cubic metres, thousand",7601.0,1.0,fuelwood
186141,Belgium,Conventional crude oil - transformation,2001,"Metric tons,  thousand",32055.0,,conventional_crude_oil
612935,France,Lignite - Consumption by non-ferrous metals industry,1994,"Metric tons,  thousand",30.0,,lignite
1140369,Mauritius,"Electricity - total production, main activity",1991,"Kilowatt-hours, million",613.0,,total_electricity
53380,Latvia,Biogases - Transformation in CHP plants - autoproducers,2010,Terajoules,193.0,,biogases
841183,Gabon,"Natural gas (including LNG) - transformation in electricity, CHP and heat plants",2000,Terajoules,4345.0,,natural_gas_including_lng
81451,Hungary,"Black Liquor - Consumption by other manuf., const. and non-fuel ind.",2001,Terajoules,441.0,1.0,black_liquor
357811,Zambia,Fuelwood - Final consumption,1994,"Cubic metres, thousand",10125.889436,,fuelwood
1037310,United Rep. of Tanzania,Electricity - total thermal production,2007,"Kilowatt-hours, million",1658.0,,thermal_electricity
585261,Republic of Moldova,Kerosene-type Jet Fuel - Final consumption,2012,"Metric tons,  thousand",0.0,,kerosene_type_jet_fuel
1017395,Indonesia,Refinery gas - Production,1998,"Metric tons,  thousand",697.0,,refinery_gas
589541,Eritrea,Kerosene-type Jet Fuel - Imports,2002,"Metric tons,  thousand",13.0,,kerosene_type_jet_fuel
58134,Netherlands,Biogasoline - Final energy consumption,2010,"Metric tons,  thousand",208.0,,biogasoline
332139,United Kingdom,Fuel oil - Transformation in heat plants - autoproducers,2002,"Metric tons,  thousand",227.0,,fuel_oil
1124020,Australia,Electricity - Own use by coke ovens,2000,"Kilowatt-hours, million",143.0,,total_electricity
500086,United States,Hard coal - consumption by non-metallic minerals industry,2004,"Metric tons,  thousand",11053.0,,hard_coal
108009,United States,Brown coal - consumption by Other,1996,"Metric tons,  thousand",1382.0,,brown_coal
184990,Slovakia,Conventional crude oil - total energy supply,2006,"Metric tons,  thousand",5641.0,,conventional_crude_oil
553668,Belgium,Heat - Gross demand,2014,Terajoules,27181.0,,heat
997631,Slovenia,Petroleum coke - Non-energy uses,2013,"Metric tons,  thousand",34.0,,petroleum_coke
578724,Romania,"Kerosene-type Jet Fuel - Consumption by other manuf., const. and non-fuel min. ind.",2014,"Metric tons,  thousand",1.0,,kerosene_type_jet_fuel
878013,Israel,Other bituminous coal - stock changes,1992,"Metric tons,  thousand",428.0,,other_bituminous_coal
571509,Portugal,Industrial Waste - Final energy consumption,2008,Terajoules,1619.0,,industrial_waste
971800,Bulgaria,Paraffin waxes - Imports,1995,"Metric tons,  thousand",1.0,,paraffin_waxes
950426,Madagascar,Other oil products n.e.c. - Total energy supply,1994,"Metric tons,  thousand",8.0,1.0,other_oil_products_n_e_c
562404,Portugal,Heat production - Main activity total,1999,Terajoules,1950.0,,heat
946358,Bolivia (Plur. State of),Other oil products n.e.c. - production from refineries,2009,"Metric tons,  thousand",94.0,,other_oil_products_n_e_c
723083,Morocco,Motor Gasoline - Consumption in road,1993,"Metric tons,  thousand",402.0,,motor_gasoline
679830,Bahamas,Liquified Petroleum Gas (LPG) - Final energy consumption,1992,"Metric tons,  thousand",15.0,1.0,liquified_petroleum_gas
72662,Neth. Antilles (former),Bitumen - Production,2007,"Metric tons,  thousand",1128.0,,bitumen
702421,Belarus,Lubricants - Total energy supply,1997,"Metric tons,  thousand",89.0,,lubricants
19027,Tonga,Aviation gasoline - Final energy consumption,1992,"Metric tons,  thousand",0.012,1.0,aviation_gasoline
508572,Bhutan,Hard coal - exports,2006,"Metric tons,  thousand",65.545,,hard_coal
141112,Faeroe Islands,Charcoal - Imports,1995,"Metric tons,  thousand",0.01,,charcoal
1131778,Denmark,Electricity - Own use by oil refineries,2009,"Kilowatt-hours, million",320.0,,total_electricity
1017148,Dominican Republic,Refinery gas - Production,2002,"Metric tons,  thousand",15.39,,refinery_gas
925980,Hungary,Other kerosene - Total energy supply,1995,"Metric tons,  thousand",90.0,,other_kerosene
1122578,Turkmenistan,Electricity - Other energy industry own use,2006,"Kilowatt-hours, million",34.0,,total_electricity
390349,Indonesia,Gas Oil/ Diesel Oil - Consumption by households,2013,"Metric tons,  thousand",396.0,,gas_oil_diesel_oil
147892,Guinea,Charcoal - Total energy supply,1990,"Metric tons,  thousand",192.32,,charcoal
448806,Greece,Gas Oil/ Diesel Oil - International marine bunkers,1999,"Metric tons,  thousand",706.0,,gas_oil_diesel_oil
641852,Hungary,Liquefied petroleum gas (LPG) - Consumption in road,2007,"Metric tons,  thousand",29.0,,liquified_petroleum_gas
770087,Singapore,Naphtha - Final consumption,2005,"Metric tons,  thousand",6509.0,,naphtha
856368,United Kingdom,Of which: biodiesel - Consumption by road,2004,"Metric tons,  thousand",18.0,,of_which_biodiesel
782625,France,Natural gas (including LNG) - consumption by chemical and petrochemical,2013,Terajoules,109524.0,,natural_gas_including_lng
917588,Venezuela (Bolivar. Rep.),Other kerosene - Own use by oil refineries,1998,"Metric tons,  thousand",0.0,,other_kerosene
541075,Russian Federation,Heat - Consumption by chemical and petrochemical,2008,Terajoules,455533.0,,heat
264888,Barbados,"Fuel oil - Consumption by manufacturing, construction and non-fuel industry",1996,"Metric tons,  thousand",10.0,,fuel_oil
552678,Finland,Heat - Final energy consumption,2004,Terajoules,172922.0,,heat
454305,China,Gas Oil/ Diesel Oil - Production,1996,"Metric tons,  thousand",44190.0,,gas_oil_diesel_oil
1119551,Mozambique,Electricity - net production,1995,"Kilowatt-hours, million",390.0,,total_electricity
874111,Canada,Other bituminous coal - final energy consumption,2005,"Metric tons,  thousand",873.0,,other_bituminous_coal
878701,Croatia,Other bituminous coal - total energy supply,2007,"Metric tons,  thousand",1081.0,,other_bituminous_coal
607909,New Caledonia,Kerosene-type Jet Fuel - Total energy supply,2004,"Metric tons,  thousand",3.5,,kerosene_type_jet_fuel
1094240,Italy,Electricity - Final energy consumption,1995,"Kilowatt-hours, million",238272.0,,total_electricity
455685,Panama,Gas Oil/ Diesel Oil - Production,1999,"Metric tons,  thousand",593.0,,gas_oil_diesel_oil
913035,Venezuela (Bolivar. Rep.),Other kerosene - Final energy consumption,1998,"Metric tons,  thousand",84.0,,other_kerosene
389494,Slovenia,Gas Oil/ Diesel Oil - Consumption by food and tobacco ,1994,"Metric tons,  thousand",11.0,,gas_oil_diesel_oil
958288,Greece,Vegetal waste - Consumption by non-metallic minerals ,2008,Terajoules,123.0,1.0,other_vegetal_material_and_residues
615358,Romania,Lignite - Consumption not elsewhere specified (industry),1993,"Metric tons,  thousand",1.0,,lignite
682358,Namibia,Liquified Petroleum Gas (LPG) - Final energy consumption,2005,"Metric tons,  thousand",8.0,,liquified_petroleum_gas
512278,Yemen,Hard coal - final consumption,2014,"Metric tons,  thousand",189.0,,hard_coal
523078,"Korea, Dem.Ppl's.Rep.",Hard coal - total energy supply,1998,"Metric tons,  thousand",18374.0,,hard_coal
454903,Indonesia,Gas Oil/ Diesel Oil - Production,1999,"Metric tons,  thousand",13984.0,,gas_oil_diesel_oil
53400,Luxembourg,Biogases - Transformation in CHP plants - autoproducers,2006,Terajoules,121.0,,biogases
459898,Argentina,Gas Oil/ Diesel Oil - Stock changes,1992,"Metric tons,  thousand",155.0,,gas_oil_diesel_oil
304211,United States,Fuel oil - International marine bunkers,2013,"Metric tons,  thousand",14673.0,,fuel_oil
913699,Chad,Other kerosene - Imports,2008,"Metric tons,  thousand",1.0,1.0,other_kerosene
490585,Estonia,Gasworks Gas - Transformation in CHP plants - main activity producers,1992,Terajoules,3869.0,,gasworks_gas
1003442,Spain,Petroleum coke - Transformation,2011,"Metric tons,  thousand",424.0,,petroleum_coke
22079,Guatemala,Aviation gasoline - International aviation bunkers,2007,"Metric tons,  thousand",2.0,,aviation_gasoline
977901,Switzerland,Patent fuel - consumption by households,1998,"Metric tons,  thousand",1.0,,patent_fuel
643438,Paraguay,Liquefied petroleum gas (LPG) - Energy industries own use,1998,"Metric tons,  thousand",0.04,,liquified_petroleum_gas
333474,Honduras,Fuelwood - Consumption by commerce and public services,1993,"Cubic metres, thousand",2783.0,1.0,fuelwood
822750,United Rep. of Tanzania,Natural gas (including LNG) - Memo:Gross production,2003,Terajoules,0.0,,natural_gas_including_lng
245409,Ukraine,"Electricity - total net installed capacity of electric power plants, main activity",1994,"Kilowatts,  thousand",50015.0,,electricity_net_installed_capacity_of_electric_power_plants
872914,Bulgaria,Other bituminous coal - final consumption,2014,"Metric tons,  thousand",232.0,,other_bituminous_coal
16544,Russian Federation,Aviation gasoline - Final consumption,2005,"Metric tons,  thousand",37.0,,aviation_gasoline
154781,Sweden,Coke Oven Gas - Consumption by mining and quarrying ,2001,Terajoules,413.0,,coke_oven_coke
233487,Malta,"Electricity - total net installed capacity of electric power plants, combustible fuels",2011,"Kilowatts,  thousand",574.0,,electricity_net_installed_capacity_of_electric_power_plants
884191,Estonia,Other bituminous coal - transformation in main activity producer heat plants,1999,"Metric tons,  thousand",9.0,,other_bituminous_coal
1042008,Peru,Electricity - Consumption by commercial and public services,1991,"Kilowatt-hours, million",365.0,1.0,total_electricity
382852,Germany,"Fuelwood - Transformation in electricity, CHP and heat plants",2008,"Cubic metres, thousand",12195.2928297756,1.0,fuelwood
1009124,Bulgaria,Feedstocks - transformation in oil refineries,2000,"Metric tons,  thousand",34.0,,refinery_feedstocks
637723,Iran (Islamic Rep. of),"Liquefied petroleum gas (LPG) - consumption by other manuf., const. and non-fuel min. ind.",1990,"Metric tons,  thousand",67.0,,liquified_petroleum_gas
337715,Portugal,Fuelwood - Consumption by households,2011,"Cubic metres, thousand",4387.162868,1.0,fuelwood
335382,Central African Rep.,Fuelwood - Consumption by households,1992,"Cubic metres, thousand",3250.0,1.0,fuelwood
158640,Other Asia,Coke Oven Gas - Own use by blast furnaces,2013,Terajoules,585.0,,coke_oven_coke
643793,Austria,Liquefied petroleum gas (LPG) - Exports,1992,"Metric tons,  thousand",40.0,,liquified_petroleum_gas
394400,Guatemala,"Gas Oil/ Diesel Oil - Consumption by manufacturing, construction and non-fuel mining industry",2004,"Metric tons,  thousand",83.0,,gas_oil_diesel_oil
202570,Greece,Direct use of solar thermal heat - Consumption by other,2009,Terajoules,7632.0,,direct_use_of_solar_thermal_heat
1027095,New Zealand,Sub-bituminous coal - Consumption by energy sector,1995,"Metric tons,  thousand",17.0,,sub_bituminous_coal
366520,Ireland,Fuelwood - Production,2008,"Cubic metres, thousand",564.422551,,fuelwood
473632,Switzerland,Gas Oil/ Diesel Oil - Transformation in CHP plants - autoproducers,2013,"Metric tons,  thousand",4.0,,gas_oil_diesel_oil
896790,Other Asia,Other kerosene - Consumption by other,1998,"Metric tons,  thousand",22.0,,other_kerosene
966862,Japan,Vegetal waste - Total energy supply,2013,Terajoules,129642.0,,other_vegetal_material_and_residues
552583,Croatia,Heat - Final energy consumption,1999,Terajoules,9877.0,,heat
1117199,China,Electricity - net production,2006,"Kilowatt-hours, million",2635068.0,,total_electricity
1022751,Trinidad and Tobago,Refinery gas - Total energy supply,1995,"Metric tons,  thousand",138.0,,refinery_gas
321120,Argentina,Fuel oil - Transformation,2011,"Metric tons,  thousand",2677.0,,fuel_oil
883369,Switzerland,Other bituminous coal - transformation in main activity producer CHP plants,1991,"Metric tons,  thousand",3.0,,other_bituminous_coal
789770,Japan,Natural gas (including LNG) - consumption by iron and steel,2005,Terajoules,77084.0,,natural_gas_including_lng
251723,Other Asia,"Electricity - total net installed capacity of electric power plants, nuclear",2007,"Kilowatts,  thousand",5144.0,,electricity_net_installed_capacity_of_electric_power_plants
9500,Japan,Anthracite - transformation in briquetting plants,1997,"Metric tons,  thousand",71.0,,anthracite
569871,Austria,"Industrial Waste - Consumption by paper, pulp and print",2007,Terajoules,130.0,,industrial_waste
578253,Greenland,Kerosene-type Jet Fuel - Consumption by mining and quarrying ,2010,"Metric tons,  thousand",0.3922,,kerosene_type_jet_fuel
1129989,Australia,Electricity - Own use by gas works,1991,"Kilowatt-hours, million",16.0,,total_electricity
656428,Iran (Islamic Rep. of),Liquefied petroleum gas (LPG) - Own use by oil refineries,2005,"Metric tons,  thousand",4.859611,,liquified_petroleum_gas
255761,United Arab Emirates,Ethane - Production,2013,"Metric tons,  thousand",704.0,,ethane
708541,Romania,Motor Gasoline - Consumption by machinery ,2005,"Metric tons,  thousand",6.0,,motor_gasoline
881293,"Korea, Republic of",Other bituminous coal - transformation in autoproducer electricity plants,2004,"Metric tons,  thousand",113.0,,other_bituminous_coal
865124,Portugal,"Other bituminous coal - consumption by manufacturing, construction and non-fuel industry",2008,"Metric tons,  thousand",80.0,,other_bituminous_coal
92903,China,Blast furnace gas - Total energy supply,2013,Terajoules,2746628.0,,blast_furnace_gas
753531,Belgium,Motor Gasoline - Total energy supply,2000,"Metric tons,  thousand",2235.0,,motor_gasoline
452052,Belgium,Gas Oil/ Diesel Oil - Own use by coke ovens,1995,"Metric tons,  thousand",12.0,,gas_oil_diesel_oil
1155690,Portugal,From combustible fuels – Main activity – CHP plants,2007,"Kilowatt-hours, million",341.0,,total_electricity
493971,Russian Federation,Hard coal - consumption by construction industry,2002,"Metric tons,  thousand",47.0,,hard_coal
494946,France,Hard coal - consumption by households,1996,"Metric tons,  thousand",1036.0,,hard_coal
688872,Malaysia,Lubricants - Final consumption,1994,"Metric tons,  thousand",170.0,1.0,lubricants
578141,Ecuador,"Kerosene-type Jet Fuel - Consumption by manufacturing, construction and non-fuel mining industry",2013,"Metric tons,  thousand",21.68,,kerosene_type_jet_fuel
379738,India,Fuelwood - Transformation in charcoal plants,1995,"Cubic metres, thousand",15.0,1.0,fuelwood
656515,"Korea, Republic of",Liquefied petroleum gas (LPG) - Own use by oil refineries,2013,"Metric tons,  thousand",31.0,,liquified_petroleum_gas
743724,Suriname,Motor Gasoline - Losses,2006,"Metric tons,  thousand",0.0,,motor_gasoline
1062241,Côte d'Ivoire,Electricity - Consumption by other,2007,"Kilowatt-hours, million",2402.0,,total_electricity
352196,China,Fuelwood - Exports,2003,"Cubic metres, thousand",4.364,,fuelwood
