,country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
415142,Mauritania,"Gas Oil/ Diesel Oil - Consumption in agriculture, forestry and fishing",2014,"Metric tons,  thousand",45.0,1.0,gas_oil_diesel_oil
416357,Zambia,"Gas Oil/ Diesel Oil - Consumption in agriculture, forestry and fishing",2007,"Metric tons,  thousand",19.0,,gas_oil_diesel_oil
562347,Norway,Heat production - Main activity total,2006,Terajoules,11757.0,,heat
512451,Austria,Hard coal - final energy consumption,1996,"Metric tons,  thousand",462.0,,hard_coal
283239,Other Asia,Fuel oil - Consumption not elsewhere specified (industry),2009,"Metric tons,  thousand",12.0,,fuel_oil
540908,Lithuania,Heat - Consumption by chemical and petrochemical,2006,Terajoules,5270.0,,heat
547184,Iceland,Heat - Consumption by other,2008,Terajoules,19338.0,,heat
1186417,Canada,White spirit and special boiling point industrial spirits - Total energy supply,2011,"Metric tons,  thousand",67.0,,white_spirit_and_special_boiling_point_industrial_spirits
749493,Serbia and Montenegro,Motor Gasoline - production from refineries,2000,"Metric tons,  thousand",340.0,,motor_gasoline
37816,Gabon,Bagasse - Total energy supply,2007,"Metric tons,  thousand",68.5,,bagasse
330044,Antigua and Barbuda,Fuel oil - Transformation in electricity plants - main activity producers,2013,"Metric tons,  thousand",35.0,1.0,fuel_oil
650773,Bermuda,Liquefied petroleum gas (LPG) - Imports,1999,"Metric tons,  thousand",10.0,1.0,liquified_petroleum_gas
204912,Norway,Electricity generating capacity - Pumped hydro - Autoproducers,2013,"Kilowatts,  thousand",36.0,,electricity_net_installed_capacity_of_electric_power_plants
1085481,Liberia,Electricity - Consumption not elsewhere specified (other),1990,"Kilowatt-hours, million",295.0,1.0,total_electricity
1089289,Tunisia,Electricity - Energy industries own use,2011,"Kilowatt-hours, million",372.0,,total_electricity
956041,Sudan (former),Vegetal waste - Consumption by commerce and public services,1998,Terajoules,9623.0,1.0,other_vegetal_material_and_residues
785726,Greece,Natural Gas (including LNG) - consumption by food and tobacco,2004,Terajoules,3818.0,,natural_gas_including_lng
